"Region"	"fylkenr"	"idnr"	"densMoose16"	"densRed16"	"densRoe16"	"densreinhunters"	"densmoosehunters"	"densredhunters"	"densroehunters"	"densHuman17"	"kdensrein17"	"reinhunters17"	"moosehunters17"	"redhunters17"	"roehunters"	"humans2017"	"totareal"
"East"	"5"	15	0.284380157	0.344064881	0.193097637	0.481805347	0.337263743	0.385444277	0.433624812	1.060935374	0.099571551	100	70	80	90	2202	2075.53
"West"	"15"	16	0	1.479158127	0.267317734	0.415694266	1.247082798	11.22374519	6.651108258	38.8009028	0	5	15	135	80	4667	120.28
"West"	"15"	17	0	1.631258161	0.174362511	0.426033655	0.852067309	5.396426292	2.982235582	18.68015564	0	15	30	190	105	6577	352.08
"West"	"15"	18	0.043605421	1.227181128	0.295893927	0.523618715	1.963570182	3.403521649	2.879902934	6.835842328	0	20	75	130	110	2611	381.96
"South"	"8"	19	0.182453313	0.083624435	0.72221103	0.491189456	8.186490937	7.367841843	9.332599668	34.66487722	0	15	250	225	285	10586	305.38
"East"	"6"	20	0.222687796	0.065897409	0.488549757	0.582426577	3.882843849	2.620919598	3.688701657	26.76444265	0	30	200	135	190	13786	515.09
"East"	"6"	21	0.187625661	0.014214065	0.223871528	0.25721856	2.8937088	1.73622528	2.21851008	19.31325558	0	40	450	270	345	30034	1555.1
"East"	"6"	22	0.325656488	0.102112627	0	0.375580379	1.40842642	1.032846042	0.375580379	8.660883535	0	20	75	55	20	4612	532.51
"East"	"5"	23	0.232378002	0.098115156	0	0	1.511092612	1.295222239	0.64761112	4.563499689	0	0	70	60	30	2114	463.24
"East"	"5"	24	0.245259166	0.260429836	0.063211125	0.708278138	0.464807528	0.48694122	0.354139069	0.906596016	0.138822247	160	105	110	80	2048	2259
"West"	"16"	25	0	1.513493858	0.550216418	0.073529412	0.367647059	2.132352941	1.470588235	6.851470588	0	5	25	145	100	4659	680
"East"	"6"	26	0.254346787	0.061043229	0.661301645	0.513344134	3.336736873	2.566720671	3.080064805	34.76366477	0	10	65	50	60	6772	194.8
"East"	"2"	27	0.633627518	0	1.810364336	2.334760135	11.67380067	5.836900336	11.67380067	183.780644	0	20	100	50	100	15743	85.66
